Frequency_Hz,MeanIntensity,StdIntensity,DiffFromBaseline,Correlation,CentroidShift,EdgeDensity
1,91.516,60.461,0.92878,0.99975,0.12689,0.027213
2,91.613,60.533,1.0912,0.99971,0.058597,0.026586
4,90.727,60.553,1.5966,0.99941,3.1812,0.027129
6,92.277,64.317,8.5545,0.98355,0.20062,0.02995
8,88.633,60.959,3.3804,0.99833,15.152,0.027432
10,87.586,66.461,12.298,0.98122,32.688,0.031849
12,92.406,64.396,9.0061,0.98176,0.16935,0.029952
14,92.42,64.405,9.1565,0.9811,0.16684,0.029979
16,91.384,60.525,1.1327,0.99968,0.13597,0.027306
18,92.357,64.449,9.4527,0.97974,0.080407,0.029936
20,92.302,64.455,9.5279,0.97931,0.1877,0.029889
22,92.345,64.491,9.6338,0.97887,0.14082,0.029819
24,92.403,64.491,9.7109,0.97854,0.062009,0.029896
32,90.815,60.662,1.7165,0.99943,3.8072,0.026819
64,91.37,60.503,1.1635,0.99967,0.076936,0.02727
128,91.436,60.573,1.1883,0.99965,0.21711,0.027201
256,90.934,60.767,1.5424,0.99949,2.4281,0.027317
512,90.182,60.836,2.2759,0.99901,7.0814,0.027232
1024,86.84,61.567,5.0319,0.99697,24.676,0.028126
2048,88.856,61.312,3.5561,0.99824,10.746,0.027502
4096,86.91,61.925,4.9938,0.99716,0.91015,0.027916
8192,90.3,65.271,8.4713,0.98677,13.148,0.03003
16384,91.259,65.617,8.6218,0.9864,16.084,0.030342
22000,92.277,64.258,7.6832,0.987,0.65691,0.030047
