ExcitationFrequency_Hz,MaxFFTComponent
1,91.515931297751
2,91.6127729727552
4,90.7269704731461
6,92.2765120711981
8,88.6330190920362
10,87.5861896689421
12,92.4056809369255
14,92.4203708374422
16,91.3837449067558
18,92.3570437961154
20,92.3018610586528
22,92.3453515994003
24,92.4025155859056
32,90.8149433011323
64,91.3702980739618
128,91.4357720917346
256,90.9340978884229
512,90.1819363762351
1024,86.8395386240841
2048,88.8562147601757
4096,86.9102182824627
8192,90.2995349160986
16384,91.2589595021765
22000,92.2767806707644
